SolventC_Smiles,SolventD_Smiles,SolventE_Smiles,Time,ratioA,ratioB,ratioC,ratioD,ratioE,regression£¨200s/1s£©
CCCCCCCC,CC#N,CC(C)O,50,0.72,0.24,0.02,0.01,0.01,0.535885167
CCCCCCCC,CC#N,CC(C)O,100,0.72,0.24,0.02,0.01,0.01,0.488516746
CCCCCCCC,CC#N,CC(C)O,150,0.72,0.24,0.02,0.01,0.01,0.468708134
C1=CC=C(C(=C1)Cl)Cl,CC(CO)O,CCO,50,0.72,0.24,0.02,0.01,0.01,0.694949495
C1=CC=C(C(=C1)Cl)Cl,CC(CO)O,CCO,100,0.72,0.24,0.02,0.01,0.01,0.647138047
C1=CC=C(C(=C1)Cl)Cl,CC(CO)O,CCO,150,0.72,0.24,0.02,0.01,0.01,0.618316498
C1=CC=C(C(=C1)Cl)Cl,CC(CO)O,CCO,200,0.72,0.24,0.02,0.01,0.01,0.604579125
C1=CC=C(C=C1)CO,CC(=O)O,C1=CC=C(C(=C1)Cl)Cl,200,0.6,0.32,0.1,0.1,0.2,1.186282151
C1CC(=O)OC1,CC(=O)N(C)C,C1=CC=C(C(=C1)Cl)Cl,200,0.72,0.24,0.02,0.01,0.01,0.164867725
C1CC(=O)OC1,CC(=O)N(C)C,C1=CC=C(C(=C1)Cl)Cl,50,0.72,0.24,0.02,0.01,0.01,0.224126984
C1CC(=O)OC1,CC(=O)N(C)C,C1=CC=C(C(=C1)Cl)Cl,100,0.72,0.24,0.02,0.01,0.01,0.167830688
C1CC(=O)OC1,CC(=O)N(C)C,C1=CC=C(C(=C1)Cl)Cl,150,0.72,0.24,0.02,0.01,0.01,0.157354497
CC(C)O,CC1=CC=CC=C1,CC(=O)N(C)C,200,0.72,0.24,0.02,0.01,0.01,0.218630339
CC(C)O,CC1=CC=CC=C1,CC(=O)N(C)C,50,0.72,0.24,0.02,0.01,0.01,0.635861561
CC(C)O,CC1=CC=CC=C1,CC(=O)N(C)C,100,0.72,0.24,0.02,0.01,0.01,0.614506627
CC(C)O,CC1=CC=CC=C1,CC(=O)N(C)C,150,0.72,0.24,0.02,0.01,0.01,0.583210604
CC(=O)O,CCCCN,CC(=O)N(C)C,200,0.6,0.32,0.1,0.1,0.2,5.777627119
CCOC(=O)C,C1=CC=C(C=C1)CO,CCN(CC)CC,50,0.72,0.24,0.02,0.01,0.01,0.15258012
CO,CCOC(=O)C,CCN(CC)CC,200,0.6,0.32,0.1,0.1,0.2,0.851778656
CC1=CC=CC=C1,CN1CCCC1=O,CC(=O)C,200,0.6,0.32,0.1,0.1,0.2,1.285498489
CC1=CC=CC=C1,CN1CCCC1=O,CC(=O)C,50,0.6,0.32,0.1,0.1,0.2,0.910876133
CC1=CC=CC=C1,CN1CCCC1=O,CC(=O)C,100,0.6,0.32,0.1,0.1,0.2,1.036253776
