A nN,A Sse,A Mv,A Mpe,A ETA_dAlpha_B,A Bandgap,B Mare,B Mi,B ETA_dAlpha_B,B ETA_BetaP,B fragC,B HOMO,B Bandgap,Potential (v)
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.016914286,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,-0.1824
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.016914286,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,-0.06544
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.016914286,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,-0.04014
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.016914286,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,0.004154
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.045287356,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,-0.08328
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.045287356,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.004737
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.045287356,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.03121
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.045287356,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.02442
6,89.23088128,0.728984759,1.041549953,0.03222,0.226,1.045287356,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.06489
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.995911111,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,0.3423
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.995911111,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,0.335
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.995911111,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,0.3323
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.995911111,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,0.323
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.995911111,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,0.3116
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.012,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.3537
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.012,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.3481
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.012,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.3458
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.012,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.3475
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.012,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.3468
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.955034483,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.3455
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.955034483,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.3469
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.955034483,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.3483
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.955034483,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.3495
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.955034483,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.3509
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.009777778,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.2852
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.009777778,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.2726
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.009777778,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.2631
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.009777778,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.2522
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.009777778,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.2599
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.000777778,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.3367
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.000777778,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.3468
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.000777778,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.3527
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.000777778,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.3577
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.000777778,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.3589
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.97847619,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.4095
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.97847619,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.3294
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.97847619,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.2989
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.97847619,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.2717
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.97847619,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.2467
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.990971429,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,0.3423
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.990971429,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,0.335
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.990971429,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,0.3323
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.990971429,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,0.323
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.990971429,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,0.3116
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.969142857,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.02346
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.969142857,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.01243
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.969142857,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.07075
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.969142857,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.1642
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,0.969142857,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.1336
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.016914286,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,-0.101
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.016914286,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,-0.1824
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.016914286,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,-0.06544
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.016914286,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,-0.04014
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.016914286,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,0.004154
4,48.8616169,0.676835335,0.966786715,0.01954,1.346,1.045287356,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.4328
