,A nN,A Si,A Mv,A Mse,A ETA_dAlpha_B,A Bandgap,B Mpe,B Mi,B ETA_dAlpha_B,B ETA_BetaP,B fragC,B HOMO,B Bandgap,Potential (v)
78,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.940094659,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.3093
79,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.940094659,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.3112
80,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.996405229,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.1379
81,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.996405229,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.1402
82,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.996405229,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.1656
83,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.996405229,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.273
84,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.996405229,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.2248
85,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.986928105,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.2345
86,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.986928105,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.208
87,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.986928105,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.1927
88,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.986928105,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.1826
89,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.986928105,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.1746
90,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.966946779,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.2527
91,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.966946779,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.2337
92,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.966946779,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.2151
93,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.966946779,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.2081
94,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.966946779,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.2106
95,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.977591036,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,-0.1382
96,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.977591036,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,-0.0732
97,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.977591036,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,-0.03873
98,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.977591036,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,-0.01231
99,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.977591036,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,-0.000489
100,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.957360722,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.1329
101,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.957360722,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.1284
102,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.957360722,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.1312
103,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.957360722,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.1378
104,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,0.957360722,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.1468
105,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,1.004145658,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,-0.101
106,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,1.004145658,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,-0.1824
107,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,1.004145658,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,-0.06544
108,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,1.004145658,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,-0.04014
109,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,1.004145658,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,0.004154
110,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,1.03186838,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,-0.08328
111,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,1.03186838,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.004737
112,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,1.03186838,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.03121
113,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,1.03186838,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.02442
114,6,632.1833964,0.728984759,1.062272396,0.03222,0.226,1.03186838,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.06489
115,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.984139434,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,0.3423
116,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.984139434,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,0.335
117,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.984139434,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,0.3323
118,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.984139434,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,0.323
119,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.984139434,7.44761855,0.01852,1.39815,198.06,-5.511,3.471,0.3116
120,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.999663866,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.3537
121,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.999663866,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.3481
122,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.999663866,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.3458
123,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.999663866,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.3475
124,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.999663866,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.3468
125,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.940094659,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.3455
126,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.940094659,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.3469
127,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.940094659,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.3483
128,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.940094659,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.3495
129,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.940094659,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.3509
130,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.996405229,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.2852
131,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.996405229,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.2726
132,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.996405229,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.2631
133,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.996405229,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.2522
134,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.996405229,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.2599
135,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.986928105,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.3367
136,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.986928105,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.3468
137,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.986928105,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.3527
138,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.986928105,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.3577
139,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.986928105,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.3589
140,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.966946779,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.4095
141,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.966946779,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.3294
142,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.966946779,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.2989
143,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.966946779,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.2717
144,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.966946779,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.2467
145,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.977591036,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,0.3423
146,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.977591036,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,0.335
147,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.977591036,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,0.3323
148,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.977591036,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,0.323
149,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.977591036,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,0.3116
150,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.957360722,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.02346
151,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.957360722,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.01243
152,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.957360722,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.07075
153,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.957360722,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.1642
154,4,367.647012,0.676835335,0.997175855,0.01954,1.346,0.957360722,7.538865507,0.02121,1.2197,240.05,-4.197,1.737,0.1336
155,4,367.647012,0.676835335,0.997175855,0.01954,1.346,1.004145658,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,-0.101
156,4,367.647012,0.676835335,0.997175855,0.01954,1.346,1.004145658,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,-0.1824
157,4,367.647012,0.676835335,0.997175855,0.01954,1.346,1.004145658,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,-0.06544
158,4,367.647012,0.676835335,0.997175855,0.01954,1.346,1.004145658,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,-0.04014
159,4,367.647012,0.676835335,0.997175855,0.01954,1.346,1.004145658,7.480693345,0.02319,1.53261,119.07,-5.107,1.731,0.004154
160,4,367.647012,0.676835335,0.997175855,0.01954,1.346,1.03186838,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.4328
161,4,367.647012,0.676835335,0.997175855,0.01954,1.346,1.03186838,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.438
162,4,367.647012,0.676835335,0.997175855,0.01954,1.346,1.03186838,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.4363
163,4,367.647012,0.676835335,0.997175855,0.01954,1.346,1.03186838,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.4346
164,4,367.647012,0.676835335,0.997175855,0.01954,1.346,1.03186838,7.456738791,0.02396,1.53125,1009.24,-5.04,0.21,0.4336
165,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.999663866,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.2937
166,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.999663866,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.3024
167,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.999663866,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.2989
168,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.999663866,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.2937
169,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.999663866,7.496365714,0.02029,1.54348,531.14,-5.218,1.568,0.2813
170,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.940094659,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.2906
171,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.940094659,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.125
172,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.940094659,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.2801
173,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.940094659,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.2115
174,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.940094659,7.795594136,0.03333,0.70455,10.03,-5.285,5.034,0.1014
175,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.996405229,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.196
176,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.996405229,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.2195
177,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.996405229,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.245
178,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.996405229,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.2556
179,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.996405229,7.537975915,0.02424,1.22727,317.14,-5.249,1.56,0.2329
180,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.986928105,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.3835
181,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.986928105,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.3562
182,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.986928105,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.3317
183,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.986928105,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.3199
184,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.986928105,7.537387641,0.03651,1.16667,156.05,-4.981,2.279,0.3075
185,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.966946779,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.4217
186,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.966946779,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.3993
187,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.966946779,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.4003
188,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.966946779,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.3962
189,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.966946779,7.503311577,0.02222,1.29167,232.04,-4.695,2.259,0.3943
190,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.977591036,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,0.2813
191,0,335.1428347,0.680833345,1.016015214,0.01852,3.471,0.977591036,7.591437896,0.03167,1.4375,61.05,-4.629,1.952,0.2824
